Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
105	1	9.016500	3230	32.300000	1.070679	0.995160	1.000000	0.596692	0.014963	0.014212	0.014268	0.009096	0.127841	0.134538	0.128832	0.029189	0.134911	0.128139	0.128643	0.082011	Liopholis_guthega	
106	1	11.151200	3703	37.030000	1.881574	1.003585	1.000000	2.956696	0.025774	0.014156	0.015348	0.040288	0.158107	0.166390	0.159334	0.036100	0.287410	0.157859	0.171149	0.449254	Liopholis_whitii	
107	1	13.293850	2471	24.710000	1.066763	0.999699	1.000000	0.581573	0.014884	0.014594	0.014294	0.007637	0.188487	0.198361	0.189949	0.043036	0.197862	0.194016	0.190029	0.101520	Liopholis_personata	
108	1	16.287515	1833	18.330000	1.065231	1.011653	1.000000	0.547449	0.014941	0.014594	0.014361	0.008575	0.230933	0.243031	0.232724	0.052728	0.243356	0.237701	0.233913	0.139666	Liopholis_pulchra	
109	1	22.069464	1542	15.420000	1.048173	1.010859	1.000000	0.432385	0.014687	0.014893	0.014410	0.006155	0.312912	0.329305	0.315340	0.071446	0.324138	0.328670	0.318022	0.135827	Lissolepis_coventryi	
110	1	25.576110	749	7.490000	1.019689	1.000973	1.000000	0.328485	0.014394	0.014090	0.014311	0.005346	0.362631	0.381629	0.365444	0.082798	0.368131	0.360363	0.366032	0.136720	Lissolepis_luctuosa	
111	1	36.553010	451	4.510000	1.044846	1.001196	1.000000	0.556996	0.014759	0.014011	0.014339	0.008257	0.518267	0.545418	0.522288	0.118334	0.539501	0.512146	0.524115	0.301830	Corucia_zebrata	
112	4	45.812410	826	8.260000	1.007032	0.992416	1.000000	0.435948	0.014247	0.013964	0.014039	0.007137	0.649552	0.683580	0.654591	0.148309	0.652667	0.639708	0.643160	0.326983	Tribolonotus_blanchardi,Tribolonotus_gracilis,Tribolonotus_ponceleti,Tribolonotus_pseudoponceleti	
113	3	8.146600	1852	18.520000	1.110060	0.977673	1.000000	1.363829	0.015580	0.013914	0.013795	0.018651	0.115507	0.121558	0.116403	0.026373	0.126921	0.113349	0.112378	0.151939	Tribolonotus_blanchardi,Tribolonotus_ponceleti,Tribolonotus_pseudoponceleti	
114	2	13.000000	2232	22.320000	0.995261	0.990456	1.000000	0.696597	0.014004	0.013915	0.013512	0.010110	0.184321	0.193977	0.185750	0.042085	0.182054	0.180889	0.175656	0.131433	Tribolonotus_ponceleti,Tribolonotus_pseudoponceleti	
115	1	7.000000	2203	22.030000	0.965652	0.989327	1.000000	0.548141	0.013594	0.013694	0.013453	0.008186	0.099250	0.104449	0.100020	0.022661	0.095161	0.095856	0.094171	0.057304	Tribolonotus_pseudoponceleti	
116	1	7.000000	2181	21.810000	0.949078	0.992601	1.000000	0.429301	0.013377	0.013587	0.013421	0.006631	0.099250	0.104449	0.100020	0.022661	0.093638	0.095106	0.093948	0.046414	Tribolonotus_ponceleti	
117	1	20.000000	1641	16.410000	0.962842	0.992936	1.000000	0.341501	0.013575	0.013809	0.013660	0.005467	0.283570	0.298426	0.285770	0.064746	0.271505	0.276183	0.273210	0.109331	Tribolonotus_blanchardi	
118	1	28.146600	815	8.150000	1.020467	1.008503	1.000000	0.558982	0.014416	0.014615	0.014096	0.008526	0.399077	0.419984	0.402173	0.091119	0.405756	0.411367	0.396740	0.239986	Tribolonotus_gracilis	




