Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
81	15	2.250929	21039	21.039000	1.269129	0.987822	1.000000	2.112392	0.260237	0.178333	0.196818	0.429388	0.488654	0.380986	0.442616	0.251647	0.585774	0.401414	0.443024	0.966523	Liopholis_guthega,Liopholis_inornata,Liopholis_kintorei,Liopholis_margaretae,Liopholis_modesta,Liopholis_montana,Liopholis_multiscutata,Liopholis_personata,Liopholis_pulchra,Liopholis_slateri,Liopholis_sp.nov,Liopholis_sp.nov2,Liopholis_striata,Liopholis_whitii,Lissolepis_coventryi	
82	14	5.781949	24367	24.367000	1.075705	1.018474	1.000000	1.144172	0.219430	0.168207	0.191261	0.229783	1.255203	0.978636	1.136945	0.646405	1.268735	0.972565	1.105864	1.328594	Liopholis_guthega,Liopholis_inornata,Liopholis_kintorei,Liopholis_margaretae,Liopholis_modesta,Liopholis_montana,Liopholis_multiscutata,Liopholis_personata,Liopholis_pulchra,Liopholis_slateri,Liopholis_sp.nov,Liopholis_sp.nov2,Liopholis_striata,Liopholis_whitii	
83	13	0.974386	32836	32.836000	1.324286	0.954994	1.000000	2.599289	0.264470	0.169477	0.186572	0.504299	0.211529	0.164922	0.191600	0.108933	0.257696	0.165136	0.181794	0.491382	Liopholis_guthega,Liopholis_inornata,Liopholis_kintorei,Liopholis_margaretae,Liopholis_modesta,Liopholis_montana,Liopholis_multiscutata,Liopholis_personata,Liopholis_slateri,Liopholis_sp.nov,Liopholis_sp.nov2,Liopholis_striata,Liopholis_whitii	
84	9	0.581508	36755	36.755000	1.320494	1.010864	1.000000	2.551596	0.263037	0.168173	0.185041	0.493877	0.126240	0.098424	0.114346	0.065011	0.152958	0.097794	0.107603	0.287193	Liopholis_inornata,Liopholis_kintorei,Liopholis_margaretae,Liopholis_modesta,Liopholis_multiscutata,Liopholis_slateri,Liopholis_sp.nov,Liopholis_sp.nov2,Liopholis_striata	
85	7	5.119296	38109	38.109000	1.022430	0.630568	1.000000	1.107093	0.205492	0.164518	0.180956	0.217737	1.111347	0.866477	1.006643	0.572322	1.051975	0.842218	0.926368	1.114660	Liopholis_inornata,Liopholis_kintorei,Liopholis_multiscutata,Liopholis_slateri,Liopholis_sp.nov,Liopholis_sp.nov2,Liopholis_striata	
86	6	1.852562	42854	42.854000	1.167979	0.983518	1.000000	1.899457	0.233022	0.167691	0.181598	0.367116	0.402172	0.313559	0.364282	0.207111	0.431688	0.310658	0.336422	0.680105	Liopholis_inornata,Liopholis_kintorei,Liopholis_slateri,Liopholis_sp.nov,Liopholis_sp.nov2,Liopholis_striata	
87	4	2.089812	46857	46.857000	1.123130	1.013372	1.000000	1.807081	0.224711	0.160882	0.178464	0.351671	0.453677	0.353716	0.410934	0.233635	0.469605	0.336214	0.372956	0.734927	Liopholis_inornata,Liopholis_slateri,Liopholis_sp.nov,Liopholis_sp.nov2	
88	3	0.988050	51432	51.432000	1.266703	0.519527	1.000000	2.446544	0.253932	0.164111	0.178003	0.494752	0.214496	0.167234	0.194287	0.110461	0.250897	0.162150	0.175876	0.488840	Liopholis_inornata,Liopholis_slateri,Liopholis_sp.nov	
89	2	1.083700	52954	52.954000	1.101921	0.570220	1.000000	1.952713	0.220406	0.173051	0.175903	0.356306	0.235260	0.183424	0.213096	0.121154	0.238854	0.187535	0.190626	0.386128	Liopholis_slateri,Liopholis_sp.nov	
90	1	3.598200	52680	52.680000	1.058495	0.968625	1.000000	1.399003	0.211914	0.169565	0.176032	0.283105	0.781133	0.609021	0.707539	0.402268	0.762510	0.610130	0.633398	1.018669	Liopholis_sp.nov	
