Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
112	4	45.812410	579	11.580000	0.985984	1.003480	1.000000	0.534319	0.001215	0.000769	0.000968	0.000888	0.078143	0.035676	0.044621	0.116447	0.055673	0.035224	0.044346	0.040684	Tribolonotus_blanchardi,Tribolonotus_gracilis,Tribolonotus_ponceleti,Tribolonotus_pseudoponceleti	
113	3	8.146600	953	19.060000	1.067663	1.004661	1.000000	0.982225	0.001303	0.000763	0.000989	0.001705	0.013896	0.006344	0.007935	0.020707	0.010611	0.006219	0.008053	0.013892	Tribolonotus_blanchardi,Tribolonotus_ponceleti,Tribolonotus_pseudoponceleti	
114	2	13.000000	1121	22.420000	1.060089	1.004586	1.000000	0.765183	0.001264	0.000812	0.000996	0.001042	0.022174	0.010124	0.012662	0.033044	0.016428	0.010562	0.012948	0.013551	Tribolonotus_ponceleti,Tribolonotus_pseudoponceleti	
115	1	7.000000	1092	21.840000	1.042919	0.992948	1.000000	0.715920	0.001250	0.000806	0.000990	0.001157	0.011940	0.005451	0.006818	0.017793	0.008751	0.005642	0.006930	0.008099	Tribolonotus_pseudoponceleti	
116	1	7.000000	1159	23.180000	1.148639	1.008330	1.000000	1.445900	0.001325	0.000795	0.001000	0.001363	0.011940	0.005451	0.006818	0.017793	0.009272	0.005562	0.007000	0.009543	Tribolonotus_ponceleti	
117	1	20.000000	1300	26.000000	1.622529	0.995394	1.000000	2.627482	0.001683	0.000859	0.001083	0.002147	0.034114	0.015575	0.019480	0.050836	0.033665	0.017187	0.021660	0.042931	Tribolonotus_blanchardi	
118	1	28.146600	576	11.520000	0.996559	0.994913	1.000000	0.713059	0.001235	0.000785	0.000966	0.001189	0.048010	0.021919	0.027415	0.071544	0.034768	0.022087	0.027190	0.033462	Tribolonotus_gracilis	




