Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
113	3	8.146600	643	12.860000	1.096550	1.011665	1.000000	1.046469	0.000844	0.000569	0.000696	0.000773	0.006429	0.004652	0.005678	0.002711	0.006876	0.004632	0.005670	0.006297	Tribolonotus_blanchardi,Tribolonotus_ponceleti,Tribolonotus_pseudoponceleti	
114	2	13.000000	851	17.020000	1.010526	1.005182	1.000000	0.513742	0.000780	0.000555	0.000683	0.000530	0.010260	0.007424	0.009061	0.004326	0.010141	0.007214	0.008879	0.006896	Tribolonotus_ponceleti,Tribolonotus_pseudoponceleti	
115	1	7.000000	804	16.080000	0.992566	0.998532	1.000000	0.321760	0.000765	0.000562	0.000683	0.000359	0.005525	0.003998	0.004879	0.002330	0.005356	0.003935	0.004781	0.002513	Tribolonotus_pseudoponceleti	
116	1	7.000000	814	16.280000	0.987947	1.002858	1.000000	0.312722	0.000762	0.000567	0.000680	0.000357	0.005525	0.003998	0.004879	0.002330	0.005332	0.003967	0.004760	0.002497	Tribolonotus_ponceleti	
117	1	20.000000	952	19.040000	1.533538	0.992245	1.000000	2.135225	0.001108	0.000594	0.000748	0.001366	0.015784	0.011422	0.013940	0.006656	0.022156	0.011874	0.014960	0.027313	Tribolonotus_blanchardi	
118	1	28.146600	326	6.520000	0.994873	1.000499	1.000000	0.188027	0.000778	0.000562	0.000690	0.000349	0.022214	0.016074	0.019618	0.009367	0.021894	0.015825	0.019421	0.009810	Tribolonotus_gracilis	




