Genus_species,Family,Subfamily,Museum,Rego,Snout_Vent,Snout_Axilla,Interlimb,Body_Width,Pelvic_Width,Pelvic_Height,Head_Width,Head_Length,Snout_Eye,Snout_Tip,Eye_Diameter,Head_Depth,Tail_Width,Total_Tail,Tail_Length,Tail_Loss,RG,RG2,Arm,Upper_Arm,Lower_Arm,Hand,Number of digits forelimb,Leg,Upper_Leg,Lower_Leg,Foot,Number of digits hindlimb,State/Province,Verbatim Locaility,Latitude,Longitude,Notes,Data Collector
Liopholis slateri,Scincidae,Egerniinae,MAGNT,R32705,60.18,22.17,34.34,10.56,4.86,6.37,10.44,13.07,3.17,,4.54,7.64,5.66,,64.29,Y,18.72,NA,19.78,7.69,6.39,7.97,5,25.25,9.18,8.39,11.72,5,NT,Todd River Station,-24.6,134.401,accessioned as Liopholis inornata,Chapple Group
Liopholis slateri,Scincidae,Egerniinae,MAGNT,R32739,79.18,27.51,45.74,16.55,6.74,10.77,12.8,15.12,4.01,,4.75,9.92,9.54,,29.31,Y,18.81,NA,23.02,8.84,7.75,9.45,5,28.51,10.63,9.49,12.11,5,NT,"Plenty River Floodout, Simpson Desert",-24.7,136.52,accessioned as Liopholis inornata,Chapple Group
Liopholis slateri,Scincidae,Egerniinae,MAGNT,R32664,70.19,25.46,39.17,15.22,6.27,8.86,12.1,13.86,3.56,,4.87,9.55,8.85,,15.92,Y,NA,NA,21.07,8.22,7.38,9.04,5,28.6,10.12,9.78,12.51,5,NT,50km S of Alice Springs,-24.8,133.53,accessioned as Liopholis inornata,Chapple Group
Liopholis slateri,Scincidae,Egerniinae,MV,D92,91.71,32.77,52.77,19.12,8.08,11.29,15.26,18.26,4.46,,5.6,11.9,10.51,,78.51,Y,NA,NA,28.55,11.41,9.49,11.65,5,37.88,13.18,12.61,16.35,5,SA,Oodnadatta,-27.55,135.45,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R1537,110.47,39.94,63.71,26.3,8.32,13.94,17.8,20.51,5.08,,6.78,13.11,16.12,,57.85,Y,NA,NA,29.22,11.93,11.17,12.59,5,38.22,15.66,14.18,16.76,5,Northern Territory,"Horden Hill, Granites",NA,NA,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R26703,77.14,29.21,44.01,13.16,5.84,9.52,12.75,15.64,4.15,,5.28,9.99,8.35,,103.71,N,NA,NA,25.11,10.83,7.53,10.2,5,31.03,11.13,10.32,13.5,5,Northern Territory,"1.5Km S Of Carpentaria Hwy, Daly Waters, Bulwaddy Conservation Reserve",-16.511,134.322,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32951,91.58,31.74,55.03,18.14,7.6,11.74,14.6,17.36,4.45,,5.28,10.61,12.44,,125.66,N,NA,NA,26.34,10.52,9.51,10.53,5,33.95,13.07,12.27,14.56,5,Northern Territory,Smoke Hills,-20.001,130.002,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32953,114.29,40.76,68.15,23.33,9.27,13.84,20.27,23.07,5.26,,7.32,13.93,16.19,,61.09,Y,NA,NA,31.73,12.3,11.34,13.51,5,42.29,16.24,15.19,17.68,5,Northern Territory,Smoke Hills,-20.001,130.002,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32952,104.22,35.79,62.48,20.9,8.4,13.47,17.61,20.47,5,,6.86,12.74,15.15,,110.01,Y,55.99,NA,30.67,11.51,10.66,12.46,5,37.93,15.36,14.21,15.83,5,Northern Territory,Smoke Hills,-20.001,130.002,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32899,98.73,36.19,56.45,20.15,8.65,13.38,17.54,20.02,4.91,,6.23,13.79,13.8,,130.53,N,NA,NA,28.94,11.51,9.9,10.89,5,37.65,15.43,13.57,16.17,5,Northern Territory,Tanami,-20.217,131.767,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32955,92.35,32.26,55.19,18.35,7.59,10.61,15.2,18.11,4.72,,5.37,11.04,10.9,,116.94,N,NA,NA,27.75,10.72,9.71,11.95,5,35.99,13.37,12.5,16.1,5,Northern Territory,Tanami Sanctuary,-20.433,130.007,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,WAM,R25378,94.95,33.86,55.47,18.1,7.18,11.73,16.21,19.61,4.17,,6.22,12.86,12.43,,93.72,Y,56.66,26.1,27.24,11.48,9.38,10.2,5,36.57,15.02,13.35,14.48,5,Western Australia,"32KM E THE GRANITES, TANAMI DESERT SANCTUARY",-20.7166,130.5333,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R15168,102.92,37.44,58.88,21.95,8.39,12.68,17.91,21.1,4.9,,6.44,13.83,14.39,,141.51,N,NA,NA,31.23,12.21,10.93,11.76,5,39.51,15.68,14.25,17.11,5,Northern Territory,Sangsters Bore - 12 Km South West,-20.867,130.267,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MV,D4982,95.78,33.68,55.59,16.78,8.03,12.67,16.32,20.15,4.82,,5.91,12.77,12.04,,117.48,N,NA,NA,28.46,11.26,10.79,11.8,5,37.3,14.16,13.4,15.96,5,Northern Territory,"Central Australia, Barrow Creek",-21.53,133.88,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MV,D4953,89.29,31.81,50.58,17.58,7.99,11.52,15.81,17.83,4.72,,5.77,12.78,12.84,,116.97,N,NA,NA,26.37,10.48,9.79,11.25,5,34.95,13.39,12.26,14.46,5,Northern Territory,"Central Australia, Barrow Creek",-21.53,133.88,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MV,D4983,66.56,25.46,36.19,8.99,5.68,7.3,11.64,13.47,3.75,,4.13,7.97,7.35,,74.48,N,NA,NA,21.42,8.26,7.45,8.64,5,26.69,9.16,9.1,12.14,5,Northern Territory,"Central Australia, Barrow Creek",-21.53,133.88,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32945,97.29,32.46,57.93,17.76,7.28,10.6,15.82,18.86,4.3,,6.19,11.3,11.53,,118.6,N,NA,NA,30.21,12.11,9.8,12.14,5,39.79,15.07,12.96,17.46,5,Northern Territory,Corandirk Station,-21.55,130.083,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32946,107.47,36.35,64.72,21.08,8.57,11.69,17.41,20.18,4.89,,6.78,12.92,14.31,,72.23,Y,38.85,NA,31.72,12.08,10.54,12.67,5,41.34,15.66,14.26,16.64,5,Northern Territory,Corandirk Station,-21.55,130.083,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32939,108.11,38.77,62.99,18.13,8.13,12.24,17.52,21.91,4.77,,7.16,13.41,14.37,,89.61,Y,66.96,NA,31.18,12.03,10.82,12,5,40.69,15.21,14.74,17.27,5,Northern Territory,Corandirk Station,-21.55,130.083,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32937,101.82,35.72,56.19,18.96,7.94,11.03,16.4,19.87,4.42,,6.07,11.91,13.15,,104.57,Y,74.48,NA,29.46,11.39,10.24,11.59,5,37.91,15.58,13.15,16.53,5,Northern Territory,Corandirk Station,-21.55,130.083,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,WAM,R13455,106.31,35.6,64.05,24.01,8.64,12.3,17.45,20.55,4.9,,6.58,14.04,14.09,,93.81,Y,46,NA,29.47,12.48,10.48,11.14,5,37.26,15.48,12.64,16.07,5,Western Australia,Woodstock Station,-21.6166,118.95,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32942,101.02,34.13,60.16,18.3,7.29,10.87,15.57,18.57,4.58,,5.9,11.51,11.84,,71.49,Y,55.07,NA,28.58,11.3,9.89,11.95,5,35.97,15.25,12.72,14.33,5,Northern Territory,Corandirk Station,-21.65,131.067,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32943,103.51,34.81,60.8,20.03,8.3,11.46,16.06,20.01,4.85,,6.39,12.82,12.47,,118.81,N,NA,NA,28.26,11.47,10.56,11.58,5,37.8,15.64,12.87,14.97,5,Northern Territory,Corandirk Station,-21.65,131.067,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32912,102.87,35.2,59.43,22.98,7.97,12.04,16.09,19.32,4.89,,5.85,12.55,13.83,,51.22,Y,36.51,NA,28.95,11.4,10.5,12.06,5,37.49,15.23,12.98,15.2,5,Northern Territory,Aileron,-22.067,133.35,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32910,92.36,30.01,57.19,16.51,7.54,10.67,15.41,18.14,4.25,,6.39,12.7,11.13,,116.68,N,NA,NA,28.96,11.36,9.9,12.16,5,35.71,13.99,12.86,14.98,5,Northern Territory,Aileron,-22.067,133.35,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32914,101.67,31.13,64.36,22.93,8.86,12.66,17.29,19.81,5.1,,5.93,13.98,12.81,,108.78,Y,21.12,NA,29.62,12.65,10.8,12.14,5,39.04,15.02,14.16,15.79,5,Northern Territory,Aileron,-22.067,133.35,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32908,99.59,35.25,58.62,21.87,8.63,13.2,17.39,20.27,5.04,,6.34,13.64,12.85,,46.88,Y,NA,NA,31.51,11.79,11.24,12.82,5,39.17,14.63,14.02,16.47,5,Northern Territory,Aileron,-22.067,133.35,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R14275,100.7,35.75,57.68,20.62,8.28,14.8,17.55,20.01,4.55,,5.99,14.64,14.72,,113.31,Y,49.73,NA,28.63,11.79,10.08,11.36,5,38.39,15.64,14.17,15.76,5,Northern Territory,Atartinga Station,-22.567,133.933,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R15956,81.55,29.95,44.95,17.46,7.21,10.2,13.21,15.62,3.81,,5.42,10.25,10.67,,108.33,N,NA,NA,25.27,9.39,8.43,10.77,5,33.08,12.8,10.95,14.7,5,Northern Territory,"Atartinga, 29 Km S.W.",-22.567,133.933,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,WAM,R25136,98.52,37.72,54.87,18.51,7.16,12.06,17.49,20.57,4.93,,6.16,13.69,13.5,,115.48,Y,36.83,NA,28.74,12.4,9.7,11.56,5,38.25,14.07,12.53,16.28,5,Western Australia,3KM SE TUREE CREEK,-23.6333,118.6667,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32932,103.94,35.86,61.13,20.92,8.45,12.42,17.99,21.13,5.27,,6.17,13.83,13.46,,90.31,Y,NA,NA,32.4,12.35,10.48,12.21,5,40.13,15.47,14.62,17.47,5,Northern Territory,Hermannsburg,-23.917,132.767,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32935,98.82,33.13,58.43,22.26,8.13,12.19,16.17,19.65,4.72,,6.25,12.89,11,,94.88,Y,NA,NA,29.37,11.32,10.39,12.11,5,38.56,14.95,14.14,15.93,5,Northern Territory,Hermannsburg,-23.917,132.767,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32940,103.63,36.76,60.16,22.94,8.03,12.11,17.01,20.29,4.96,,5.73,12.88,13.75,,125.47,N,NA,NA,32.08,12.14,11.27,12.49,5,38.66,15.59,14.16,16.07,5,Northern Territory,Hermannsburg,-23.917,132.767,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32931,86.38,31.15,49.67,16.94,7.17,10.1,14.55,18.02,4.66,,5.55,10.5,10,,114.6,N,NA,NA,27.47,10.32,9.8,11.52,5,35.58,13.05,12.05,16.01,5,Northern Territory,Hermannsburg,-23.917,132.767,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32928,106.77,36.9,62.55,16.73,7.47,12.23,18.05,22.13,4.57,,6.68,13.83,15.59,,102.4,Y,83.7,NA,30.42,12.36,11.15,12.3,5,39.4,15.03,14.14,16.02,5,Northern Territory,Hermannsburg,-23.917,132.767,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32930,106.85,36.93,63.12,22.06,9.24,12.63,19.3,22.36,5.38,,6.51,13.76,12.99,,28.61,Y,NA,NA,30.22,12.71,11.31,12.17,5,39.92,15.88,14.57,16.9,5,Northern Territory,Hermannsburg,-23.917,132.767,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32918,89.2,31.66,52.35,19.03,6.91,10.34,14.63,17.33,4.52,,5.63,10.58,11.48,,82.65,Y,32.15,NA,27.71,10.69,10.16,11.14,5,35.04,13.8,12.21,15.24,5,Northern Territory,Reedy Creek,-24.3,131.6,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32919,81.19,30.08,45.74,16.2,7.11,9.41,13.92,16.48,4.37,,5.1,10.14,10.65,,81.04,N,NA,NA,26.38,9.71,9.2,11.48,5,34.05,12.7,11.95,15.06,5,Northern Territory,Reedy Creek,-24.3,131.6,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32924,77.03,27.94,44.67,16.78,7.24,8.98,13.39,15.7,3.88,,5.67,9.77,8.73,,74.56,Y,40.06,NA,24.98,9.31,8.41,11.27,5,32.92,12.27,11.2,14.48,5,Northern Territory,Reedy Creek,-24.317,131.6,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,MAGNT,R32961,100.4,34.95,59.97,16.89,7.36,11.77,16.61,20.06,4.28,,6.09,12.19,12.64,,114.18,N,NA,NA,30.07,11.93,10.37,11.76,5,39.25,16.31,14.29,16.12,5,Northern Territory,Petermann Ranges,-25.067,129.083,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,WAM,R17109,102.97,35.69,61.59,20.96,7.95,12.53,16.53,20.66,4.83,,6.27,12.78,12.27,,130.76,N,NA,NA,28.96,11.92,9.99,10.95,5,38.99,15.68,13.77,15.84,5,Western Australia,3KM E WARBURTON MISSION,-26.1333,126.6167,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,WAM,R22005,109.31,38.7,63.65,19.48,7.38,12.91,17.88,20.91,5.26,,5.95,14.84,14.39,,138.2,N,NA,NA,29.49,12.88,10.67,11.44,5,40.5,15.52,14.3,17.14,5,Western Australia,WARBURTON MISSION,-26.1333,126.5833,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,SAMA,R8413,93.12,33.4,53.53,15.35,7.39,12.91,16.75,19.15,4.87,,6.03,13.5,12.94,,119.83,N,NA,NA,28.07,11.15,10.46,11.59,5,38.64,14.07,12.91,16.9,5,South Australia,"MT DAVIES, TOMKINSON RGS",-26.22,129.27,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,SAMA,R8414,100.36,35.76,59.17,20.37,8.34,11.89,17.21,20.28,4.93,,5.92,13.79,13.13,,118.35,Y,62.4,NA,30.79,11.81,10.87,12.07,5,39.38,14.96,13.94,16.38,5,South Australia,"MT DAVIES, TOMKINSON RGS",-26.22,129.27,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,SAMA,R7170,95.53,33.63,54.97,18.22,7.42,11.06,15.52,19.38,4.51,,5.87,12.06,11.44,,66.83,Y,39.82,NA,29.01,11.28,10.57,11.39,5,38.85,15.27,13.56,15.85,5,South Australia,"BORE 25, 5 MI N MT CAROLINE, MUSGRAVE PK",-26.27,130.83,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,SAMA,R7191,104.47,38.99,58.68,18.7,7.94,12.62,16.99,20.89,4.78,,6.25,13.03,12.14,,127.36,Y,22.53,NA,30.04,11.81,10.35,11.34,5,40.33,16.15,13.81,16.78,5,South Australia,"BORE 25, 5 MI N MT CAROLINE, MUSGRAVE PK",-26.27,130.83,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,WAM,R136792,95.88,32.92,54.57,18.31,7.22,10.96,15.48,17.81,4.24,,5.96,11.27,13.16,,92.38,N,NA,NA,27.5,11.64,9.2,10.53,5,36.5,13.18,12.2,15.7,5,Western Australia,LORNA GLEN STATION,-26.303,121.475,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,SAMA,R48704,109.71,38.05,63.78,26.03,8.88,12.61,17.65,20.61,5.03,,6.16,12,14.25,,131.77,Y,54.72,NA,30.13,11.77,10.72,12.49,5,39.95,15.26,14.24,16.09,5,South Australia,1.8 KM NNW OF MT LINDSAY,-27.0142,129.87,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,SAMA,R48832,95.85,34.28,56.2,20.56,8.03,10.63,16.04,18.46,4.58,,5.59,11.74,11.8,,122.03,N,NA,NA,28.64,10.95,10.17,11.97,5,37.01,14.11,13.12,15.74,5,South Australia,"32.5 KM WNW OF MT CHEESMAN, OPP.",-27.33,130.0164,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,WAM,R101433,101.06,38.09,56.87,21.59,8.47,13.77,17.74,21.04,5.24,,6.08,13.73,13.63,,120.34,N,NA,NA,28.37,11.04,9.82,11.69,5,39,15.01,12.75,16.78,5,Western Australia,WANJARRI NATURE RESERVE,-27.35,120.6667,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,SAMA,R48872,93.53,34.69,52.14,19.4,7.15,11.94,16.29,18.65,4.3,,6.14,11.79,12.3,,57.68,Y,NA,NA,26.26,10.45,9.84,10.61,5,34.42,12.7,12.22,14.67,5,South Australia,NEALES CAMP NO 1,-27.5,135.5,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,WAM,R127245,95.08,35.45,53.02,16.2,7.34,9.78,16.39,19.18,4.91,,6.45,11.67,10.74,,132.96,N,NA,NA,28.49,12.32,9.44,11.22,5,37.65,13.72,12.83,15.64,5,Western Australia,130KM NW MOUNT MAGNET,-27.7,117.0833,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,WAM,R136694,102.17,39.5,56.21,19.22,8,11.2,19.1,21.67,5.65,,6.42,12.19,12.8,,144.87,N,NA,NA,28.76,12.9,10.48,11.17,5,38.76,15.03,13.06,16.56,5,Western Australia,GOONGARRIE STATION,-29.9697,120.9875,,Chapple Group
Liopholis striata,Scincidae,Egerniinae,WAM,R13027,97.94,35.61,56.17,22.61,7.67,13.94,17.84,20.8,5.18,,6.79,16.33,14.59,,107.84,Y,47.44,36.81,28.43,12.15,10.6,11.06,5,38.71,15.43,13.31,15.99,5,Western Australia,JUMNANIA HILL,-30.9,122.7333,,Chapple Group
Liopholis whitii,Scincidae,Egerniinae ,MV,D50400,86.63,32.35,47.17,18.86,11.01,10.56,14.24,18.84,5.29,,3.84,11.98,10.51,,131.52,N,NA,NA,24.95,9.05,8.66,11.84,5,36.57,12.66,10.86,17.51,5,Tasmania,"Bass Strait, Hogan Group, Hogan Island",-39.22,146.98,,Chapple Group
Liopholis whitii,Scincidae,Egerniinae ,MV,D62229,95.04,33.08,56.96,15.17,9.21,10.27,14.16,18.89,5.24,,3.61,10.79,10.83,,126.45,N,NA,NA,23.06,8.47,6.09,10.94,5,37.35,12.28,10.89,17.07,5,Tasmania,"Bass Strait, Furneaux Group, Flinders Island, 2.5 km E of Emita",-39.6556,147.934,,Chapple Group
Liopholis whitii,Scincidae,Egerniinae,MV,D14263,95.05,32.26,55.19,19.3,11.02,11.25,12.12,19.3,6.67,,3.89,9.77,11.37,,126.34,N,NA,NA,13.57,5.49,8.84,8.83,5,17,13.19,10.66,17.82,5,Tasmania,"Bass Strait, Furneaux Group, West Sister Island (Inner Sister Island)",-39.68,147.92,,Chapple Group
Liopholis whitii,Scincidae,Egerniinae,MV,D14262,94.61,34.06,52.38,20.19,11.8,12.68,14.73,19.69,6.41,,5.8,13.3,13.13,,132.59,N,NA,NA,14.74,8.55,9.33,11.06,5,17.79,14.17,12.54,17.27,5,Tasmania,"Bass Strait, Furneaux Group, West Sister Island (Inner Sister Island)",-39.68,147.92,,Chapple Group
Liopholis whitii,Scincidae,Egerniinae,MV,D14246,94.34,33.76,53.42,18.95,10.26,11.38,13.32,19.28,7.27,,3.93,10.28,11.86,,117.42,N ,NA,NA,13.65,10.21,9.67,10.78,5,20.32,13.17,11.06,17.98,5,Tasmania,"Bass Strait, Furneaux Group, West Sister Island (Inner Sister Island)",-39.68,147.92,,Chapple Group
Liopholis whitii,Scincidae,Egerniinae,MV,D14267,99.01,34.19,60.37,23.26,10.53,10.49,15.11,19.94,7.58,,5.05,10.63,12.63,,131.93,N,NA,NA,14.16,8.41,9.15,9.69,5,18.15,13.69,10.07,15.45,5,Tasmania,"Bass Strait, Furneaux Group, West Sister Island (Inner Sister Island)",-39.68,147.92,,Chapple Group
Liopholis whitii,Scincidae,Egerniinae ,MV,D50413,84.35,32.14,46.09,17.44,9.84,11.03,13.82,18.56,5.72,,3.19,11.15,10.91,,114.83,N,NA,NA,22.84,9.04,7.9,10.09,5,35.44,12.94,11.86,16.87,5,Tasmania,"Bass Strait, Furneaux Group, Isabella Island",-40.13,147.93,,Chapple Group
Liopholis whitii,Scincidae,Egerniinae ,MV,D50416,91.32,32.4,54.6,20.73,11.26,13.34,14.88,19.7,5.8,,3.49,12.93,13.27,,122.59,Y,16.56,NA,21.72,9.23,8.14,11.5,5,35.08,12.85,10.94,17.25,5,Tasmania,"Bass Strait, Furneaux Group, Preservation Island",-40.47,148.05,,Chapple Group
Liopholis whitii,Scincidae,Egerniinae ,MV,D50408,92.95,34.53,52.9,18.66,11.65,11.48,14.61,19.7,6.11,,3.45,11.83,12.07,,97.73,N,NA,NA,25.19,9.16,7.72,11.38,5,37.57,13.75,11.74,17.49,5,Tasmania,"Bass Strait, Furneaux Group, Preservation Island",-40.47,148.05,,Chapple Group
Liopholis whitii,Scincidae,Egerniinae ,MV,D56796,84.86,30.73,49.83,16.85,9.12,9.34,12.14,17.9,5.37,,2.96,11.44,9.37,,122.66,N,NA,NA,24.15,8.49,7.38,10.02,5,34.09,11.91,10.74,16.74,5,Tasmania,"Bass Strait, Furneaux Group, Rum Island",-40.48,148.07,,Chapple Group
Lissolepis coventryi,Scincidae,Egerniinae,MV,D56720,94.75,33.17,54.42,15.31,8.35,10.87,12.32,16.81,5.19,,3.71,10.17,9.17,,152.75,N,NA,NA,17.86,6.26,7.24,7.62,5,28.41,11.85,9.58,14.84,5,NA,NA,NA,NA,,Chapple Group
Lissolepis coventryi,Scincidae,Egerniinae,MV,D55685,88.43,30.96,52.26,14.46,8.89,10.83,11.46,16.33,4.98,,4.21,10.06,8.3,,126.49,Y,32.71,NA,18.47,6.43,6.94,7.95,5,28.52,11.34,9.43,13.69,5,NA,NA,NA,NA,,Chapple Group
Lissolepis coventryi,Scincidae,Egerniinae,MV,D56881,94.25,32.61,54.67,14.34,7.93,11.76,12.05,17.23,4.97,,4.19,11.15,8.61,,112.38,Y,84.84,NA,18.74,6.53,7.13,8.63,5,29.79,10.83,9.69,15.37,5,NA,NA,NA,NA,,Chapple Group
Lissolepis coventryi,Scincidae,Egerniinae,MV,D55683,93.17,32.47,53.57,13.74,7.84,10.16,11.61,16.41,5.07,,3.92,9.99,8.96,,84.47,Y,54.42,NA,20.67,6.96,7.4,8.72,5,28.5,11.53,9.56,13.58,5,NA,NA,NA,NA,,Chapple Group
Lissolepis coventryi,Scincidae,Egerniinae,MV,D52483,96.09,33.94,55.72,11.58,7.12,10.06,10.72,17.49,5.21,,3.96,9.67,8.44,,125.03,Y,69.06,NA,19.67,6.53,6.46,8.56,5,30.32,12.06,9.25,14.46,5,NA,NA,NA,NA,,Chapple Group
Lissolepis luctuosa,Scincidae,Egerniinae,MV,D3437,120.39,46.64,63.89,19.87,10.82,13.89,16.85,25.39,8.29,,5.08,14.79,13.31,,148.97,N,NA,NA,29.06,10.9,9.71,12.89,5,43.03,16.03,13.28,20.13,5,NA,NA,NA,NA,,Chapple Group
Lissolepis luctuosa,Scincidae,Egerniinae,MV,D903,138.25,49.95,72.58,19.37,12.61,15.62,17.54,28.14,9.01,,5.78,17.17,14.28,,173.22,N,NA,NA,33.89,12.59,11.66,13.95,5,47.4,17.35,14.88,23.03,5,NA,NA,NA,NA,,Chapple Group
Lissolepis luctuosa,Scincidae,Egerniinae,MV,D3440,111.02,41.61,58.26,16.36,10.3,12.58,14.87,24.88,7.92,,4.82,13.59,12.87,,193.35,N,NA,NA,28.11,9.54,10.45,12.13,5,43.36,15.57,11.79,21.07,5,NA,NA,NA,NA,,Chapple Group
Lissolepis luctuosa,Scincidae,Egerniinae,MV,D3439,112.04,41.79,65.19,17.77,11.22,12.19,15.05,24.77,7.9,,5.08,12.37,12.39,,182.34,N,NA,NA,28.29,9.78,8.91,11.64,5,41.26,16.63,12.27,18.7,5,Western Australia,Champion Bay,-28.77,114.6,,Chapple Group
Lissolepis luctuosa,Scincidae,Egerniinae,MV,D3438,110.7,39.86,61.06,20.16,9.17,11.54,14.02,22.5,7.13,,5.36,12.42,10.76,,172.94,N,NA,NA,28.04,9.72,8.43,11.58,5,38.31,15,12.03,19.46,5,Western Australia,Champion Bay,-28.77,114.6,,Chapple Group
Tiliqua adelaidensis,Scincidae,Egerniinae,SAMA,R66431,96.1,33.88,55.75,15.85,7.55,8.37,14.93,20.73,6.37,,3.95,11.03,8.08,,65.89,N,NA,NA,16.95,7.79,6.63,5.09,5,22.31,9.33,7.19,8.94,5,South Australia,Unknown,NA,NA,,Chapple Group
Tiliqua adelaidensis,Scincidae,Egerniinae,SAMA,R2227,92.17,32.05,53.86,12.34,6.73,10.04,13.56,19.54,5.86,,3.72,11.91,5.86,,54.9,N,NA,NA,17.04,7.43,6.02,6.31,5,17.54,7.86,6.46,7.34,5,South Australia,Unknown,NA,NA,,Chapple Group
Tiliqua adelaidensis,Scincidae,Egerniinae,SAMA,R8589,84.99,32.95,44.94,13.72,6.99,9.55,13.41,20.68,5.84,,4.26,12.83,8.03,,57.14,N,NA,NA,18.04,6.92,6.21,7.25,5,20.94,9.58,7.47,7.85,5,South Australia,Unknown,NA,NA,,Chapple Group
Tiliqua adelaidensis,Scincidae,Egerniinae,SAMA,R8587,82.9,29.91,48.19,11.05,6.28,8.69,11.91,19.24,5.77,,3.86,10.43,6.73,,44.81,N,NA,NA,18.15,7.57,6.03,7.7,5,19.88,7.8,6.62,8.71,5,South Australia,Unknown,NA,NA,,Chapple Group
Tiliqua adelaidensis,Scincidae,Egerniinae,SAMA,R8588,77.36,27.33,45.08,10.42,6.27,7.5,10.91,17.16,5.2,,3.4,10.56,5.7,,52.56,N,NA,NA,16.79,7.37,5.64,7.27,5,19.09,7.7,6.09,7.92,5,South Australia,Unknown,NA,NA,,Chapple Group
Tiliqua adelaidensis,Scincidae,Egerniinae,SAMA,R68381,90.97,33.91,50.37,12.44,7.16,7.88,13.67,20.11,6.16,,3.93,12.17,8.13,,59.2,N,NA,NA,18.9,8.22,6.3,7.78,5,21.64,8.73,7.15,8.67,5,South Australia,Goyder (DC),-33.1,139,,Chapple Group
Tiliqua adelaidensis,Scincidae,Egerniinae,SAMA,R68046,88.01,29.57,52.79,13.05,7.3,7.72,12.51,17.81,5.14,,3.32,9.11,7.72,,55.27,N,NA,NA,17.74,7.49,6.29,6.75,5,19.87,7.81,6.55,7.18,5,South Australia,Goyder (DC),-33.1,139,,Chapple Group
Tiliqua adelaidensis,Scincidae,Egerniinae,SAMA,R68380,97.77,34.67,58.46,12.34,7.74,8.26,13.23,19.66,5.93,,3.55,11.37,8.42,,61.91,N,NA,NA,18.5,8.06,6.85,7.39,5,20.54,8.45,6.73,8.17,5,South Australia,Goyder (DC),-33.1,139,,Chapple Group
Tiliqua adelaidensis,Scincidae,Egerniinae,SAMA,R56717,77.84,28.45,44.31,9.33,6.24,6.75,10.91,17.28,4.87,,3.6,9.79,7.62,,54.87,N,NA,NA,18.6,7.75,6.27,6.82,5,20.69,8.51,6.55,8.09,5,South Australia,Goyder (DC),-33.4,138.9,,Chapple Group
